107;Bh;Bohrium;Bohrium;270.000;1.300;17
108;Hs;Hassium;Hassium;269.000;1.300;17
109;Mt;Meitnerium;Meitnerium;278.000;1.300;17
110;Ds;Darmstadtium;Darmstadtium;281.000;1.300;17
111;Rg;Roentgenium;Roentgenium;282.000;1.300;17
112;Cn;Copernicium;Copernicium;285.000;1.300;18
113;Nh;Nihonium;Nihonium;286.000;1.300;25
114;Fl;Flerovium;Flerovium;289.000;1.300;25
115;Mc;Moscovium;Moscovium;290.000;1.300;25
116;Lv;Livermorium;Livermorium;293.000;1.300;25
117;Ts;Tennessine;Tennessin;294.000;1.300;41
118;Og;Oganesson;Oganesson;294.000;1.300;31
