63;Eu;Europium;Europium;151.960;1.200;33;E.-A. Demarcay;1901;1529;822
64;Gd;Gadolinium;Gadolin;157.250;1.200;33;J.C.G. Marignac;1880;3273;1312
65;Tb;Terbium;Terbium;158.930;1.200;33;G. Mosander;1843;3230;1356
66;Dy;Dysprosium;Dysprosium;162.500;1.220;33;P.E. Lecoq;1886;2567;1407
67;Ho;Holmium;Holmium;164.930;1.230;33;M. Delafontaine;1878;2700;1474
68;Er;Erbium;Erbium;167.260;1.240;33;C. Mosander;1842;2868;1529
69;Tm;Thulium;Thulium;168.930;1.250;33;P.E. Lecoq;1879;1950;1545
70;Yb;Ytterbium;Ytterbium;173.050;1.100;33;J.C.G. Marignac;1878;1466;824
71;Lu;Lutetium;Lutecium;174.970;1.270;33;G. Urbain;1907;3402;1652
72;Hf;Hafnium;Hafnium;178.490;1.300;17;D. Coster;1923;4602;2150
73;Ta;Tantalum;Tantal;180.950;1.500;17;A.G. Ekeberg;1802;5458;2996
74;W ;Wolframium;Wolfram;183.840;2.360;17;J. d'Elhuyar;1783;5930;3422
75;Re;Rhenium;Rhenium;186.210;1.900;17;I. Noddack;1925;5596;3186
76;Os;Osmium;Osmium;190.230;2.200;17;S. Tennant;1803;5027;3033
77;Ir;Iridium;Iridium;192.220;2.200;17;S. Tennant;1803;4428;2466
78;Pt;Platinum;Platina;195.080;2.280;17;A. de Ulloa;1735;3827;1768.3
79;Au;Aurum;Zlato;196.970;2.540;17;N/A;6000 pr. n. l.;2970;1064.18
80;Hg;Hydrargyrum;Rtut;200.590;2.000;18;Egypt;1500 pr. n. l.;356.73;-38.83
81;Tl;Thallium;Talium;204.380;1.620;25;W. Crookes;1861;1473;304
82;Pb;Plumbum;Olovo;207.200;2.330;25;Mala Asie;7000 pr. n. l.;1749;327.46
83;Bi;Bismuthum;Bismut;208.980;2.020;25;C. Geoffroy;1753;1564;271.3
84;Po;Polonium;Polonium;209.000;2.000;21;M. Curie;1898;962;254
85;At;Astatinum;Astat;210.000;2.200;41;D. Corson;1940;337;302
86;Rn;Radon;Radon;222.000;0.000;31;F. Dorn;1900;-61.7;-71
87;Fr;Francium;Francium;223.000;0.700;9;M. Perey;1939;677;27
88;Ra;Radium;Radium;226.000;0.900;13;P. a M. Curie;1898;1737;700
89;Ac;Actinium;Aktinium;227.000;1.100;37;F. Giesel;1899;3200;1050
90;Th;Thorium;Thorium;232.040;1.300;37;J. Berzelius;1829;4788;1750
91;Pa;Protactinium;Protaktinium;231.040;1.500;37;O. Hahn;1913;4000;1568
92;U ;Uranium;Uran;238.030;1.380;37;M.H. Klaproth;1789;4131;1132.2
93;Np;Neptunium;Neptunium;237.000;1.360;37;E.M. McMillan;1940;4273;644
94;Pu;Plutonium;Plutonium;244.000;1.280;37;G.T. Seaborg;1940;3505;640
95;Am;Americium;Americium;243.000;1.300;37;G.T. Seaborg;1944;2880;1176
96;Cm;Curium;Curium;247.000;1.300;37;G.T. Seaborg;1944;3383;1340
97;Bk;Berkelium;Berkelium;247.000;1.300;37;S. Thompson;1949;2900;986
98;Cf;Californium;Kalifornium;251.000;1.300;37;S. Thompson;1950;1743;900
